#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 04 14 00 999 99.0 99.0  0.46  2.86  2.43 311 9999.0   3.7   7.0 999.0 99.0 99.00
2024 01 04 14 30 999 99.0 99.0  0.47  2.94  2.45 310 9999.0   3.6   7.0 999.0 99.0 99.00
2024 01 04 15 00 999 99.0 99.0  0.49  3.13  2.51 319 9999.0   3.8   7.1 999.0 99.0 99.00
2024 01 04 15 30 999 99.0 99.0  0.44  3.28  2.49 322 9999.0   3.8   7.1 999.0 99.0 99.00
2024 01 04 16 00 999 99.0 99.0  0.42  3.33  2.47 323 9999.0   3.9   7.1 999.0 99.0 99.00
2024 01 04 16 30 999 99.0 99.0  0.37  3.17  2.31 326 9999.0   4.1   7.1 999.0 99.0 99.00
2024 01 04 17 00 999 99.0 99.0  0.34  2.90  2.22 326 9999.0   4.3   7.1 999.0 99.0 99.00
2024 01 04 17 30 999 99.0 99.0  0.32  2.82  2.14 324 9999.0   4.5   7.1 999.0 99.0 99.00
2024 01 04 18 00 999 99.0 99.0  0.30  2.70  2.06 315 9999.0   4.6   7.1 999.0 99.0 99.00
2024 01 04 18 30 999 99.0 99.0  0.30  2.67  2.04 320 9999.0   5.0   7.1 999.0 99.0 99.00
2024 01 04 19 00 999 99.0 99.0  0.33  2.63  2.11 320 9999.0   5.3   7.1 999.0 99.0 99.00
2024 01 04 19 30 999 99.0 99.0  0.38  2.60  2.10 323 9999.0   5.8   7.1 999.0 99.0 99.00
2024 01 04 20 00 999 99.0 99.0  0.43  2.74  2.21 322 9999.0   5.9   7.1 999.0 99.0 99.00
2024 01 04 20 30 999 99.0 99.0  0.46  2.78  2.25 320 9999.0   5.7   7.1 999.0 99.0 99.00
2024 01 04 21 00 999 99.0 99.0  0.52  2.74  2.32 332 9999.0   6.0   7.1 999.0 99.0 99.00
2024 01 04 21 30 999 99.0 99.0  0.63  2.82  2.54 320 9999.0   5.8   7.1 999.0 99.0 99.00
2024 01 04 22 00 999 99.0 99.0  0.83  3.64  3.00 332 9999.0   5.4   7.1 999.0 99.0 99.00
2024 01 04 22 30 999 99.0 99.0  1.09  4.17  3.35 336 9999.0   5.1   7.1 999.0 99.0 99.00
2024 01 04 23 00 999 99.0 99.0  1.40  4.76  3.87 336 9999.0   4.6   7.0 999.0 99.0 99.00
2024 01 04 23 30 999 99.0 99.0  1.53  5.26  4.11 338 9999.0   4.1   7.1 999.0 99.0 99.00
2024 01 05 00 00 999 99.0 99.0  1.74  5.13  4.38 329 9999.0   3.5   7.0 999.0 99.0 99.00
2024 01 05 00 30 999 99.0 99.0  1.93  5.88  4.68 334 9999.0   2.9   7.0 999.0 99.0 99.00
2024 01 05 01 00 999 99.0 99.0  2.15  5.88  4.90 335 9999.0   2.2   7.0 999.0 99.0 99.00
2024 01 05 01 30 999 99.0 99.0  2.33  6.25  5.27 341 9999.0   1.5   7.0 999.0 99.0 99.00
2024 01 05 02 00 999 99.0 99.0  2.33  6.45  5.31 341 9999.0   1.1   7.0 999.0 99.0 99.00
2024 01 05 02 30 999 99.0 99.0  2.37  6.90  5.32 345 9999.0   0.7   6.9 999.0 99.0 99.00
2024 01 05 03 00 999 99.0 99.0  2.39  6.45  5.37 337 9999.0   0.5   7.0 999.0 99.0 99.00
2024 01 05 03 30 999 99.0 99.0  2.60  6.90  5.58 350 9999.0  -0.1   7.0 999.0 99.0 99.00
2024 01 05 04 00 999 99.0 99.0  2.36  6.25  5.30 341 9999.0  -0.5   6.9 999.0 99.0 99.00
2024 01 05 04 30 999 99.0 99.0  2.29  6.67  5.32 350 9999.0  -1.1   6.9 999.0 99.0 99.00
2024 01 05 05 00 999 99.0 99.0  2.24  6.67  5.11 354 9999.0  -1.3   6.9 999.0 99.0 99.00
2024 01 05 05 30 999 99.0 99.0  2.21  6.25  5.13 352 9999.0  -1.5   6.9 999.0 99.0 99.00
2024 01 05 06 00 999 99.0 99.0  1.99  6.25  4.93 350 9999.0  -1.6   6.9 999.0 99.0 99.00
2024 01 05 06 30 999 99.0 99.0  2.14  6.25  4.98 351 9999.0  -2.0   6.8 999.0 99.0 99.00
2024 01 05 07 00 999 99.0 99.0  1.85  5.88  4.72 348 9999.0  -2.0   6.8 999.0 99.0 99.00
2024 01 05 07 30 999 99.0 99.0  1.96  6.06  4.78 348 9999.0  -2.2   6.8 999.0 99.0 99.00
2024 01 05 08 00 999 99.0 99.0  1.77  6.25  4.66 351 9999.0  -2.3   6.8 999.0 99.0 99.00
2024 01 05 08 30 999 99.0 99.0  1.73  5.71  4.52 347 9999.0  -2.3   6.8 999.0 99.0 99.00
2024 01 05 09 00 999 99.0 99.0  1.76  5.88  4.64 351 9999.0  -1.8   6.8 999.0 99.0 99.00
2024 01 05 09 30 999 99.0 99.0  1.76  5.88  4.66 344 9999.0  -2.1   6.8 999.0 99.0 99.00
